,filtered,quantity,final_brand,class1,class2
0,chicken burger patty,250g,venkys,Ready To Eat,Branded Food
1,daily family long bread,,britannia,"Biscuits, Cookies & Crackers",Branded Food
2,potato kettle chips zesty masala pp,30g,pooof!,"Chips, Namkeens & Snacks",Branded Food
3,tube 20 ml,20 ml,fevibond,OTC,Beauty &Personal Care
4,kitkat dessert delight truffle,50g,nestle,"Chocolates, Cakes & Confectioneries",Branded Food
5,spaghetti pasta,200g,blue bird,"Noodles, Pastas & Vermicelli",Branded Food
6,avalose podi m,500g,nirapara,Toys,Toys & Stationery
7,roll on fresh natural,50ml,nivea,Deos & Perfumes,Beauty &Personal Care
8,dw soap exotic dream bx,115g,fiama di wills,Skin Care,Beauty &Personal Care
9,ktcn peri peri mayonnaise bt,200g,sangis kitchen,"Jams, Spreads & Honey",Branded Food
10,absolute youth infinity skin sculpting serum 30 ml,30 ml,lakme,Skin Care,Beauty &Personal Care
11,absolute perfect radiance skin lightening uv lotion 30 ml,30 ml,lakme,Skin Care,Beauty &Personal Care
12,khakhra mobile jeera,180g,jalaram foods,"Noodles, Pastas & Vermicelli",Branded Food
13,c&l iron & vitamins pp,102g,super gummy,Stationery,Toys & Stationery
14,h&e 6 tortillas xl pp,360g,cantina,Stationery,Toys & Stationery
15,cookies butter tn,200g,danisa,"Chocolates, Cakes & Confectioneries",Branded Food
16,ma oats italian,39g,saffola,Breakfast Cereals,Branded Food
17,colour nat hrclr drkest brwn no3,3 100ml,,Toys,Toys & Stationery
18,soya katori chatpati namkeen,100g,foodex,"Chocolates, Cakes & Confectioneries",Branded Food
19,farmlite oats & almond biscuits,75g,sunfeast,"Biscuits, Cookies & Crackers",Branded Food
20,sugarfree oatmeal cookies,75g,unibic,"Biscuits, Cookies & Crackers",Branded Food
21,orange drink mix,100g,glucon-d,Fun Drink Mix,Beverages
22,d nimbu pani,450g,glucon-d,Fun Drink Mix,Beverages
23,tulsi tea bag,25g,organic india,"Salt, Sugar & Jaggery",Grocery
24,original flavour rice wafers,100g,thins,Breakfast Cereals,Branded Food
25,morning berries pp,35g,rostaa,Freshners & Repellents,Home & Hygiene
26,roasted salted pichio pp,35g,rostaa,"Chips, Namkeens & Snacks",Branded Food
27,kewra essence,20ml,flying bird,Masala & Spices,Grocery
28,ripe mango essence,20ml,flying bird,Masala & Spices,Grocery
29,ndl cuppa chili chow,70g,maggi,"Noodles, Pastas & Vermicelli",Branded Food
30,hide & seek american butter cookies,200g,parle,"Biscuits, Cookies & Crackers",Branded Food
31,honey,1kg,patanjali,"Jams, Spreads & Honey",Branded Food
32,gold biscuits,200g,priya,"Biscuits, Cookies & Crackers",Branded Food
33,starch,50g,revive,Laundry,Home & Hygiene
34,air freshener jasmine hang bx,50g,clmt,Freshners & Repellents,Home & Hygiene
35,plastic disp garbage bag  b1g1,10p,clmt,Stationery,Toys & Stationery
36,axe deo  champion bx,122ml,axe signature,Deos & Perfumes,Beauty &Personal Care
37,chicken lucknowi shek kabab,400g,yummiez,Ready To Eat,Branded Food
38,frozen chicken keema pp,300g,yummiez,Frozen Veg,Branded Food
39,bdy ltn int cr hlthy w lgh 40m,,vaseline,Toys,Toys & Stationery
40,napkin dinner paper plain,50s,beeta,Stationery,Toys & Stationery
41,apple soft drink,250ml,appy fizz,Soft Drinks,Beverages
42,peach passion,10.7g,tic tac,"Chocolates, Cakes & Confectioneries",Branded Food
43,vrka pio botls stbry,,,Toys,Toys & Stationery
44,soft drink black diet cola can,250ml,pepsi,Soft Drinks,Beverages
45,noodles chicken satay flavour,85g,koka,"Noodles, Pastas & Vermicelli",Branded Food
46,milk gold pp,1l,gowardhan,"Chocolates, Cakes & Confectioneries",Branded Food
47,cand juzt jelly mango,185g,alpenliebe,"Chocolates, Cakes & Confectioneries",Branded Food
