cleaned,quantity,final_brand,class1,class2
chicken burger patty ,250g,venkys,ready to eat,branded food
 daily family long bread,,britannia,biscuits cookies crackers,branded food
pooof potato kettle zesty masala pp ,30g,pooof!,chips namkeens snacks,branded food
 tube ,20 ml,fevibond,otc,beauty personal care
kitkat dessert delight truffle ,50g,nestle,chocolates cakes confectioneries,branded food
 spaghetti pasta ,200g,blue bird,noodles pastas vermicelli,branded food
 avalose podi m,500g,nirapara,toys,toys stationery
 roll on fresh natural ,50ml,nivea,deos perfumes,beauty personal care
 dw soap exotic dream bx ,115g,fiama di wills,skin care,beauty personal care
sangis ktcn peri peri mayonnaise bt ,200g,,jams spreads honey,branded food
 absolute youth infinity sculpting serum ,30 ml,lakme,skin care,beauty personal care
 absolute perfect radiance lightening uv lotion ,30 ml,lakme,skin care,beauty personal care
 khakhra mobile jeera ,180g,jalaram food s,masala spices,grocery
 c&l iron & vitamins pp ,102g,super gummy,stationery,toys stationery
 h&e 6 tortillas xl pp ,360g,cantina,stationery,toys stationery
 cookies butter tn ,200g,danisa,chocolates cakes confectioneries,branded food
 masala oats italian ,39g,saffola,breakfast cereals,branded food
colour nat hrclr drkest brwn no ,3 100ml,,stationery,toys stationery
 soya katori chatpati namkeen ,100g,foodex,chocolates cakes confectioneries,branded food
 farmlite oats & almond ,75g,sunfeast,biscuits cookies crackers,branded food
 sugarfree oatmeal ,75g,unibic,biscuits cookies crackers,branded food
 orange ,100g,glucon-d,fun drink mix,beverages
glucon d nimbu pani ,450g,glucon-d,chocolates cakes confectioneries,branded food
 orgain tulsi tea bag ,25g,organic india,otc,beauty personal care
 original flavour rice wafers ,100g,thins,breakfast cereals,branded food
 morning berries pp ,35g,rostaa,freshners repellents,home hygiene
 roasted salted pistachio pp ,35g,rostaa,chips namkeens snacks,branded food
 kewra essence ,20ml,flying bird,masala spices,grocery
 ripe mango essence ,20ml,flying bird,masala spices,grocery
 ndl cuppa chili chow ,70g,maggi,noodles pastas vermicelli,branded food
 hide & seek american butter ,200g,parle,biscuits cookies crackers,branded food
 ,1kg,patanjali,jams spreads honey,branded food
 gold ,200g,priya,biscuits cookies crackers,branded food
 starch ,50g,revive,laundry,home hygiene
 air freshener jasmine hang bx ,50g,clmt,freshners repellents,home hygiene
 plastic disp garbage bag b1g1,10p,clmt,stationery,toys stationery
 deo champion bx ,122ml,axe signature,deos perfumes,beauty personal care
 chicken lucknowi shek kabab ,400g,yummiez,ready to eat,branded food
 chicken keema pp ,300g,yummiez,frozen veg,branded food
 bdy ltn int cr hlthy w lgh 40m,,vaseline,toys,toys stationery
 napkin dinner paper plain ,50s,beeta,stationery,toys stationery
 apple drink ,250ml,appy fizz,soft drinks,beverages
 peach passion ,10.7g,tic tac,chocolates cakes confectioneries,branded food
vrka pio botls stbry,,,toys,toys stationery
 drink black diet cola can ,250ml,pepsi,soft drinks,beverages
 chicken satay flavour ,85g,koka,noodles pastas vermicelli,branded food
 milk gold pp ,1l,gowardhan,chocolates cakes confectioneries,branded food
 cand juzt jelly mango ,185g,alpenliebe,chocolates cakes confectioneries,branded food
 prunes california prem pp ,210g,del monte,canned tinned food,branded food
cadbury raisin nut chocolate ,80g,bournville,chocolates cakes confectioneries,branded food
 caf,,grandos,chocolates cakes confectioneries,branded food
 flvr milk energy bt ,200ml,panchamrit,soft drinks,beverages
 crm ntrl stwbry cp ,125ml,london dairy,ice cream desserts,branded food
 juice pvc bag indian gift pack ,3*1l,real,fruit juices drinks,beverages
 redymelnavrtnkorma,285g,kitchens of india,pickles chutneys,branded food
dnu tortilla chilli ,150g,salsalito,chips namkeens snacks,branded food
 namk meetha chatpata p,776g g,bikano,chips namkeens snacks,branded food
ph urad chilka pp ,500g,,chocolates cakes confectioneries,branded food
 fry n eat papad triangle ,150g,easy choice,baking dessert mixes,branded food
 all purp kitchen trigger 500m,,mr muscle,home cleaning,home hygiene
 frz snk vegie brgr patty pp ,360g,mccains,toys,toys stationery
opp pocket comb,,,home cleaning,home hygiene
 glass & househld cleanr 500m,,mr muscle,home cleaning,home hygiene
 complete active anti dandruff shampoo ,80 ml,clear,hair care,beauty personal care
& body wash intimate bt ,90ml,clean and dry,skin care,beauty personal care
 microfiber multipurpose gloves,,prim,cleaning accessories,home hygiene
gm moong tawa chilla pp ,400g,food bazaar,masala spices,grocery
gm bedmi chatni longi pp ,100g,food bazaar,masala spices,grocery
 deo urge man cn ,150ml,engage,deos perfumes,beauty personal care
gh daily rajma chitra white ,1kg,mr.white,skin care,beauty personal care
gh daily urad dal prem ,500g,,chocolates cakes confectioneries,branded food
 bournvita lil champ drink jar ,200g,cadbury,health drinks,beverages
gh who black cardamm ,20g,old spice,freshners repellents,home hygiene
gh daily who rai ,100g,old spice,freshners repellents,home hygiene
 nourishing soft & smooth conditioner ,80 ml,sunsilk,hair care,beauty personal care
mayb lip smooth balm berry crush ,4.5g,,skin care,beauty personal care
 sauce tomato ,200g,maggi,dals pulses,grocery
 value pack pp ,171g,bounty,chocolates cakes confectioneries,branded food
 pop corn bonless ,250g,delicious,frozen veg,branded food
 nuggets classic ,500g,delicious,frozen veg,branded food
 basmati rice pulav pp ,1kg,daawat,organic grains,grocery
dawat basmati rice biryani pp ,1kg,,organic grains,grocery
 bhagar shamak varai pp ,200g,desi atta company,chocolates cakes confectioneries,branded food
 rava dosa pp ,500g,desi atta company,baby food,baby care
johnsons shmp actv kids sft&smth bt 100m,,,toys,toys stationery
 co peri peri idli mix pp ,200g,desi atta company,chips namkeens snacks,branded food
 namkeen lemon bhel pp ,150g,haldiram s,chips namkeens snacks,branded food
 shmp regenerative repair tube ,240ml,dove,hair care,beauty personal care
 wa crm tuti frty 700m ,1+1 op,kwality walls,ice cream desserts,branded food
kw magnum chotruffle 90m,,,toys,toys stationery
imported cranberry & raspberry ,20pcs,twinings,chocolates cakes confectioneries,branded food
imported blackcurrant burst ,20pcs,twinings,tea coffee,beverages
 bag green jasmine ,25pcs,twinings,tea coffee,beverages
 sandal & cream soap bar ,100 g,lux,skin care,beauty personal care
 lemon bag ,25 pcs,dilmah,tea coffee,beverages
 cheese spread spicy pepper ,180g,nilgiris,sauces puree dips,branded food
wafer biscuit pineapple waffy,,,biscuits cookies crackers,branded food
 work out choco classic m,50g,ritebite,breakfast cereals,branded food
 butter cashew biscuit bx ,100g,nilgiris,chocolates cakes confectioneries,branded food
 deo perfumed passion spray cn ,122ml,he,deos perfumes,beauty personal care
cop loose jowar ,,premium,dry fruits,grocery
crmt face tissue box 20cmx20cm 2ply,100p,,stationery,toys stationery
crmt hw rose pp ,180ml,,otc,beauty personal care
 mad angle tomato madness pp ,140g,bingo,chips namkeens snacks,branded food
rambandhu pow chilli powdr pp ,200g,old spice,freshners repellents,home hygiene
crmt dlx roll y *60p,2 pl,sangi s kitchen,toys,toys stationery
fb avocado hass,,,home cleaning,home hygiene
 deo spray play ,150ml,cinthol,deos perfumes,beauty personal care
sofrsh vd ml batter dosa ,1kg,,otc,beauty personal care
 g can veg blk olive pitted ,450g,american garden,pickles chutneys,branded food
 readymix punjbi yakhni pulav ,50g,shan,otc,beauty personal care
 readymix mutton biryani ,60g,shan,baking dessert mixes,branded food
 coconut water pomegrant ,500ml,foco,fruit juices drinks,beverages
 wow maxi xl ,5s,vwash,home cleaning,home hygiene
 ndl hakka egg ,200g,wai wai,noodles pastas vermicelli,branded food
 icecrm mango marvel tb ,1l,mother dairy,pickles chutneys,branded food
 mild handwash 1+1 750m,,santoor,oral care,beauty personal care
 snk salted peanuts pp ,500g,tong garden,chips namkeens snacks,branded food
mothers rec preserve gingr past bt ,200g,,jams spreads honey,branded food
 veg fryum sago potat chkli gc ,200g,arohi,toys,toys stationery
 shrikhand elaichi tub ,500g,amul,ice cream desserts,branded food
 plain lassi ,200ml,amul,frozen veg,branded food
 choco miniatures pp op,2*150g,snickers,chocolates cakes confectioneries,branded food
gh jaggery round ,1kg,,laundry,home hygiene
ttrt snk olive&jalepeno pizza ,1p,frozen,frozen veg,branded food
 namk black pepper peanut pp ,200g,tasty treat,frozen veg,branded food
 namk chana pp ,200g,tasty treat,masala spices,grocery
 toasted suji bread ,63g,tasty treat,frozen veg,branded food
 wafer vanilla pp ,25g,tasty treat,chocolates cakes confectioneries,branded food
 sweet rasgulla tin ,1kg,tasty treat,canned tinned food,branded food
 shine protect stylin el ,75 g,brylcreem,hair care,beauty personal care
 cond ub recious herb bt 17ml,5 p,garnier,skin care,beauty personal care
 readymix egg curry pp ,50g,aachi,masala spices,grocery
 deo whitening fruity touch ,150ml,nivea,skin care,beauty personal care
 liq con brahmi badam bt ,750ml,hitkary,toys,toys stationery
 gel + crm bdws bk & almnd bt 200m,,fiama di wills,skin care,beauty personal care
sangis ktcn mustard bt ,220g,american garden,jams spreads honey,branded food
 marie light biscuit ,200g,sunfeast,biscuits cookies crackers,branded food
 dark fantasy choco fills ,75g,sunfeast,biscuits cookies crackers,branded food
 yipee mood masala poly pack ,280g,sunfeast,noodles pastas vermicelli,branded food
 instant pasta sour cream onion ,70g,sunfeast,noodles pastas vermicelli,branded food
head & sho shmp lemon antidn ,80ml,soo fresh,home cleaning,home hygiene
 drd frt cranberries whole pp ,75g,rostaa,frozen veg,branded food
" fruit shoot, strawberry & raspberry ",300ml,robinsons,chocolates cakes confectioneries,branded food
 shower gel thermal spa ,250ml,palmolive,skin care,beauty personal care
 jam pineapple fruit bt ,430g,chabaa,fun drink mix,beverages
 refined soya tin,15kg,chambal,edible oil ghee,grocery
ttrt pasta conchiglie pp ,500g,,noodles pastas vermicelli,branded food
ttrt pickle mixed ,1kg,,pickles chutneys,branded food
 det pow advance ,1kg,rin,chocolates cakes confectioneries,branded food
l- mo abut,,ong s,chocolates cakes confectioneries,branded food
 soap total1 ,0 125g,lifebuoy,skin care,beauty personal care
jack peeled,,fruit,fruit juices drinks,beverages
 chana sprout pkd,,exo,biscuits cookies crackers,branded food
l-parmal standard rice,,american garden,jams spreads honey,branded food
 body ltn almond spf1 30ml,5 350ml,vlcc,skin care,beauty personal care
mazaana almonds dates ,100g,chocolate,chocolates cakes confectioneries,branded food
 deo body voyage ,100g,park avenue,deos perfumes,beauty personal care
 anardana churan ,100g,patanjali,otc,beauty personal care
 cows ,200ml,patanjali,edible oil ghee,grocery
 coconut biscuit ,100g,patanjali,biscuits cookies crackers,branded food
 instant noodle classic pp ,60g,patanjali,noodles pastas vermicelli,branded food
 lemon pickle ,400g,patanjali,pickles chutneys,branded food
 diaper large ,18p,pampers,baby care,baby care
 det pow pls talcum freshnes pp ,500g,tide,skin care,beauty personal care
 brown basmati rice jr ,1kg,tilda,organic grains,grocery
 energy drink ,4*250ml,red bull,fruit juices drinks,beverages
 squash pineapple bt ,700ml,kissan,jams spreads honey,branded food
 nectar gift pack ,6*160ml,frooti,baby care,baby care
 hot cheese nacho crisps ,60g,colonel & co,chips namkeens snacks,branded food
chings instant soup ma pp ,15g,,ready to eat,branded food
brijnandan ni namk navratra mixture ,200g,,toys,toys stationery
 orange cake with choco k,4p,kuppies,chips namkeens snacks,branded food
 mango,32 gls,rasna,chocolates cakes confectioneries,branded food
 sft drnk jeera bt ,250ml,xalta ,chips namkeens snacks,branded food
 papad punj mn ,200g,lijjat,ready to fry,branded food
 choco temptn cashew ,72g,cadbury,chocolates cakes confectioneries,branded food
 crm dbl choclt cup ,125ml,london dairy,ice cream desserts,branded food
 juice bread gift pack box nepal ,2*1l,real,fruit juices drinks,beverages
 tbrush super white soft 2+1,,sach,toys,toys stationery
 color cotton ball ,50p,ts,stationery,toys stationery
 yogurt greek mulberry cup ,90g,epigamia,toys,toys stationery
 glow ,250 ml,raw pressery,chips namkeens snacks,branded food
 m primium basmati rice pp 1kg,24 l,brown & polson,organic grains,grocery
 m masoor whoe pp 500g,24 l,,stationery,toys stationery
 n signature blend pp ,250g,fresh & pure,tea coffee,beverages
 travel bottle et pack of a70838,2 s,ts,otc,beauty personal care
hersheys smart cook tomato ,200g,,sauces puree dips,branded food
 face wipes tree&neem ,10p,kara,tea coffee,beverages
 toilt clnr lemon ,500ml,harpic,home cleaning,home hygiene
crmt plain lami pp small round 25n17cm,,,cleaning accessories,home hygiene
 rem crm brightn senstv dry ,50g,veet,hair care,beauty personal care
 shav cream cool ,60g,dettol,personal hygiene,beauty personal care
 choco ripple pp ,100g,unibic,biscuits cookies crackers,branded food
 sunflower pp ,1l,vijaya,edible oil ghee,grocery
 groundnut pp ,1l,vijaya,organic edible oil fats,grocery
 cookie choco nut pp ,75g,unibic,biscuits cookies crackers,branded food
 bathroom wiper,298 g,gala,cleaning accessories,home hygiene
 clear green lemon zest bag ,10pcs,lipton,tea coffee,beverages
 party pack pp ,600g,yummiez,frozen veg,branded food
 soya bhel ,200g,diet foods,organic flours,grocery
