cleaned,quantity,final_brand,class1,class2,type,cleaned_more,get_cleaned
chicken burger patty ,250g,venkys,ready to eat,branded food,patty chicken burger, ,[]
 daily family long bread,,britannia,biscuits cookies crackers,branded food,bread, daily family long ,"['daily', 'family', 'long']"
pooof potato kettle zesty masala pp ,30g,pooof!,chips namkeens snacks,branded food,zesty potato,pooof kettle masala pp ,"['kettle', 'masala']"
 tube ,20 ml,fevibond,otc,beauty personal care,, tube ,['tube']
kitkat dessert delight truffle ,50g,nestle,chocolates cakes confectioneries,branded food,truffle dessert,kitkat delight ,['delight']
 spaghetti pasta ,200g,blue bird,noodles pastas vermicelli,branded food,pasta, spaghetti ,['spaghetti']
 avalose podi m,500g,nirapara,toys,toys stationery,, avalose podi m,[]
 roll on fresh natural ,50ml,nivea,deos perfumes,beauty personal care,, roll on fresh natural ,"['roll', 'fresh', 'natural']"
 dw soap exotic dream bx ,115g,fiama di wills,skin care,beauty personal care,, dw soap exotic dream bx ,"['soap', 'exotic', 'dream']"
sangis ktcn peri peri mayonnaise bt ,200g,,jams spreads honey,branded food,mayonnaise,sangis ktcn peri peri bt ,"['peri', 'peri']"
 absolute youth infinity sculpting serum ,30 ml,lakme,skin care,beauty personal care,, absolute youth infinity sculpting serum ,"['absolute', 'youth', 'infinity', 'sculpting', 'serum']"
 absolute perfect radiance lightening uv lotion ,30 ml,lakme,skin care,beauty personal care,, absolute perfect radiance lightening uv lotion ,"['absolute', 'perfect', 'radiance', 'lightening', 'lotion']"
 khakhra mobile jeera ,180g,jalaram food s,masala spices,grocery,jeera, khakhra mobile ,['mobile']
 c&l iron & vitamins pp ,102g,super gummy,stationery,toys stationery,, c&l iron & vitamins pp ,"['iron', 'vitamins']"
 h&e 6 tortillas xl pp ,360g,cantina,stationery,toys stationery,tortillas, h&e 6 xl pp ,[]
 cookies butter tn ,200g,danisa,chocolates cakes confectioneries,branded food,cookies butter, tn ,[]
 masala oats italian ,39g,saffola,breakfast cereals,branded food,oats, masala italian ,"['masala', 'italian']"
colour nat hrclr drkest brwn no ,3 100ml,,stationery,toys stationery,,colour nat hrclr drkest brwn no ,"['colour', 'nat']"
 soya katori chatpati namkeen ,100g,foodex,chocolates cakes confectioneries,branded food,soya namkeen, katori chatpati ,[]
 farmlite oats & almond ,75g,sunfeast,biscuits cookies crackers,branded food,oats almond, farmlite & ,[]
 sugarfree oatmeal ,75g,unibic,biscuits cookies crackers,branded food,oatmeal, sugarfree ,[]
 orange ,100g,glucon-d,fun drink mix,beverages,orange, ,[]
glucon d nimbu pani ,450g,glucon-d,chocolates cakes confectioneries,branded food,nimbu,glucon d pani ,[]
 orgain tulsi tea bag ,25g,organic india,otc,beauty personal care,bag, orgain tulsi tea ,['tea']
 original flavour rice wafers ,100g,thins,breakfast cereals,branded food,rice, original flavour wafers ,"['original', 'flavour', 'wafers']"
 morning berries pp ,35g,rostaa,freshners repellents,home hygiene,berries, morning pp ,['morning']
 roasted salted pistachio pp ,35g,rostaa,chips namkeens snacks,branded food,pistachio roasted, salted pp ,['salted']
 kewra essence ,20ml,flying bird,masala spices,grocery,, kewra essence ,['essence']
 ripe mango essence ,20ml,flying bird,masala spices,grocery,mango, ripe essence ,"['ripe', 'essence']"
 ndl cuppa chili chow ,70g,maggi,noodles pastas vermicelli,branded food,chili, ndl cuppa chow ,"['cuppa', 'chow']"
 hide & seek american butter ,200g,parle,biscuits cookies crackers,branded food,butter, hide & seek american ,"['hide', 'seek', 'american']"
 ,1kg,patanjali,jams spreads honey,branded food,, ,[]
 gold ,200g,priya,biscuits cookies crackers,branded food,, gold ,['gold']
 starch ,50g,revive,laundry,home hygiene,, starch ,['starch']
 air freshener jasmine hang bx ,50g,clmt,freshners repellents,home hygiene,jasmine, air freshener hang bx ,"['air', 'freshener', 'hang']"
 plastic disp garbage bag b1g1,10p,clmt,stationery,toys stationery,bag, plastic disp gare b1g1,"['plastic', 'gare']"
 deo champion bx ,122ml,axe signature,deos perfumes,beauty personal care,, deo champion bx ,"['deo', 'champion']"
 chicken lucknowi shek kabab ,400g,yummiez,ready to eat,branded food,kabab chicken, lucknowi shek ,['shek']
 chicken keema pp ,300g,yummiez,frozen veg,branded food,chicken keema, pp ,[]
