article_name,cleaned,quantity,final_brand,class1,class2,type,cleaned_more,get_cleaned
chicken burger patty 250g ,chicken burger patty ,250g,venkys,ready to eat,branded food,flavor: chicken flavor: patty flavor: burger, ,[]
britannia daily family long bread, daily family long bread,,britannia,biscuits cookies crackers,branded food,flavor: bread, daily family long ,"['daily', 'family', 'long']"
pooof potato kettle chips zesty masala pp 30g,pooof potato kettle zesty masala pp ,30g,pooof!,chips namkeens snacks,branded food,flavor: potato flavor: zesty,pooof kettle masala pp ,"['kettle', 'masala']"
fevibond tube 20 ml, tube ,20 ml,fevibond,otc,beauty personal care,, tube ,['tube']
kitkat dessert delight truffle 50g,kitkat dessert delight truffle ,50g,nestle,chocolates cakes confectioneries,branded food,flavor: truffle flavor: dessert,kitkat delight ,['delight']
blue bird spaghetti pasta 200g, spaghetti pasta ,200g,blue bird,noodles pastas vermicelli,branded food,flavor: pasta, spaghetti ,['spaghetti']
nirapara avalose podi 500gm, avalose podi m,500g,nirapara,toys,toys stationery,, avaloe podi m,[]
nivea roll on fresh natural 50ml, roll on fresh natural ,50ml,nivea,deos perfumes,beauty personal care,, roll on freh natural ,"['roll', 'natural']"
fiama dw soap exotic dream bx 115g, dw soap exotic dream bx ,115g,fiama di wills,skin care,beauty personal care,type: soap, dw exotic dream bx ,"['exotic', 'dream']"
sangis ktcn peri peri mayonnaise bt 200g,sangis ktcn peri peri mayonnaise bt ,200g,,jams spreads honey,branded food,type: mayonnaise flavor: mayonnaise,sangis ktcn peri peri bt ,"['peri', 'peri']"
lakme absolute youth infinity skin sculpting serum 30 ml, absolute youth infinity sculpting serum ,30 ml,lakme,skin care,beauty personal care,, abolute youth infinity culpting erum ,"['youth', 'infinity']"
lakme absolute perfect radiance skin lightening uv lotion 30 ml, absolute perfect radiance lightening uv lotion ,30 ml,lakme,skin care,beauty personal care,type: lotion, absolute perfect radiance lightening uv ,"['absolute', 'perfect', 'radiance', 'lightening']"
jalaram khakhra mobile jeera 180g, khakhra mobile jeera ,180g,jalaram food s,masala spices,grocery,flavor: jeera, khakhra mobile ,['mobile']
