article_name,quantity,brand,function,type-flavour-colour,misc
chicken burger patty 250g,250g,venkys,ready to eat | branded food,flavor:chicken flavor:patty flavor:burger,"chicken,burger,patty"
britannia daily family long bread,,britannia,biscuits cookies crackers | branded food,flavor:bread,"daily,family,long,bread"
pooof potato kettle chips zesty masala pp 30g,30g,pooof!,chips namkeens snacks | branded food,flavor:zesty flavor:potato,"potato,kettle,masala"
fevibond tube 20 ml,20 ml,fevibond,otc | beauty personal care,,tube
kitkat dessert delight truffle 50g,50g,nestle,chocolates cakes confectioneries | branded food,flavor:truffle flavor:dessert,"dessert,delight,truffle"
blue bird spaghetti pasta 200g,200g,blue bird,noodles pastas vermicelli | branded food,flavor:pasta,"spaghetti,pasta"
nirapara avalose podi 500gm,500gm,nirapara,toys | toys stationery,,
nivea roll on fresh natural 50ml,50ml,nivea,deos perfumes | beauty personal care,,"roll,natural"
fiama dw soap exotic dream bx 115g,115g,fiama di wills,skin care | beauty personal care,type:soap,"soap,exotic,dream"
sangis ktcn peri peri mayonnaise bt 200g,200g,sangis kitchen,jams spreads honey | branded food,type:mayonnaise flavor:mayonnaise,"peri,peri,mayonnaise"
lakme absolute youth infinity skin sculpting serum 30 ml,30 ml,lakme,skin care | beauty personal care,,"youth,infinity"
lakme absolute perfect radiance skin lightening uv lotion 30 ml,30 ml,lakme,skin care | beauty personal care,type:lotion,"absolute,perfect,radiance,lightening,lotion"
jalaram khakhra mobile jeera 180g,180g,jalaram foods,noodles pastas vermicelli | branded food,flavor:jeera,mobile
super gummy c&l iron & vitamins pp 102g,102g,super gummy,stationery | toys stationery,type:vitamins,"iron,vitamins"
cantina h&e 6 tortillas xl pp 360g,360g,cantina,stationery | toys stationery,flavor:tortillas,tortillas
danisa cookies butter tn 200g,200g,danisa,chocolates cakes confectioneries | branded food,flavor:cookies flavor:butter,"cookies,butter"
saffola masala oats italian 39g,39g,saffola,breakfast cereals | branded food,flavor:oats,"masala,oats,italian"
colour nat hrclr drkest brwn no3 100ml,3 100m,,stationery | toys stationery,,"colour,nat"
foodex soya katori chatpati namkeen 100g,100g,foodex,chocolates cakes confectioneries | branded food,flavor:namkeen flavor:soya,soya
sunfeast farmlite oats & almond biscuits 75g,75g,sunfeast,biscuits cookies crackers | branded food,flavor:oats flavor:almond,"oats,almond"
unibic sugarfree oatmeal cookies 75g,75g,sugar free,salt sugar jaggery | grocery,flavor:cookies flavor:oatmeal,"oatmeal,cookies"
glucond orange drink mix 100g,100g,glucond,fun drink mix | beverages,flavor:orange color:orange,orange
glucon d nimbu pani 450g,450g,glucond,fun drink mix | beverages,flavor:nimbu,
organic india orgain tulsi tea bag 25g,25g,organic india,otc | beauty personal care,type:bag,"tea,bag"
thins original flavour rice wafers 100g,100g,thins,breakfast cereals | branded food,flavor:rice,"original,flavour,rice,wafers"
